doc_id,posting_entries_size,doc_size_bytes
592,1140,36749
593,652,13014
594,532,13529
595,476,14807
596,672,14406
597,1544,23279
598,1992,28100
599,1500,48303
600,1228,19075
601,616,12588
602,1384,16498
603,564,11383
604,492,11136
605,636,12904
606,1244,22102
607,896,14439
608,2392,21209
609,476,10229
610,948,19265
611,860,18697
612,804,18354
613,776,12385
614,780,12263
615,628,13803
616,804,14694
617,716,13861
618,504,12468
619,1480,26558
620,780,16674
621,404,11581
622,3512,52731
623,1412,26888
624,616,18716
625,516,10866
626,900,11962
627,1484,16248
628,5620,74590
629,668,14691
630,2344,39256
631,648,16663
632,580,13356
633,508,11822
634,780,16305
635,532,11800
636,4592,50547
637,1392,20036
638,1024,29828
639,1524,26681
640,688,12795
641,824,18410
642,828,12958
643,1104,52418
644,1300,25905
645,952,14706
646,1152,15383
647,2128,38641
648,412,9880
649,5104,130716
650,1664,73882
651,1492,33846
652,952,28734
653,512,11895
654,716,28105
655,856,21578
656,612,14301
657,2228,33660
658,4012,47546
659,1528,24532
660,4136,36275
661,404,8996
662,564,11763
663,2172,49038
664,652,11041
665,1112,22565
666,1284,28169
667,464,9640
668,3428,56283
669,880,12870
670,808,12875
671,444,9229
672,1304,25564
673,824,19960
674,2692,40873
675,1596,26174
676,560,11294
677,1776,27542
678,1416,28650
679,2456,38155
680,1724,24015
681,1852,37297
682,2880,67111
683,1308,24268
684,2092,25260
685,1484,26049
686,648,12780
687,380,9981
688,1324,28853
689,1560,19167
690,736,15495
691,584,13380
692,3024,83533
693,508,12472
694,2484,37652
695,384,9110
696,1548,25070
697,1664,49275
698,796,13038
699,448,9678
700,628,14984
701,372,7671
702,580,10426
703,356,7385
704,1124,32437
705,656,13479
706,384,9738
707,1052,19791
708,5612,65578
709,1576,21990
710,2932,33210
711,1164,31355
712,1120,20951
713,700,15697
714,1144,42938
715,528,11393
716,664,12446
717,3852,64038
718,2488,38220
719,2464,75666
720,384,9021
721,736,12761
722,400,11143
723,496,12586
724,1712,22459
725,412,11178
726,696,13722
727,1276,21038
728,616,18823
729,584,16654
730,388,8875
731,636,10656
732,916,13623
733,420,12554
734,368,9016
735,508,14682
736,1440,27905
737,820,13410
738,1432,19472
739,1808,52558
740,1376,16487
741,540,11256
742,868,15623
743,620,10426
744,696,11599
745,2564,42647
746,648,21201
747,336,8506
748,552,14410
749,444,11767
750,656,16682
751,1588,27696
752,904,21267
753,772,17027
754,412,9765
755,644,16278
756,1916,25714
757,2828,51931
758,808,12168
759,2172,25404
760,1040,35125
761,664,12856
762,1032,12853
763,1644,49827
764,396,8895
765,528,13179
766,388,10742
767,1240,19554
768,404,12054
769,540,16613
770,2616,36832
771,396,9155
772,820,15802
773,792,14563
774,708,12291
775,572,11346
776,3052,43289
777,996,28530
778,484,9811
779,604,16787
780,532,12109
781,588,17273
782,2644,53598
783,2248,28300
784,520,11402
785,684,12360
786,1244,20131
787,2216,32925
788,696,12719
789,1276,24758
790,1688,23813
791,1516,26867
792,760,14412
793,596,11616
794,2628,27459
795,544,14146
796,652,13949
797,404,8146
798,1996,37007
799,12624,305278
800,1892,79937
801,2320,61366
802,748,15432
803,744,13089
804,992,17753
805,692,11542
806,400,10143
807,420,12486
808,508,11645
809,464,14361
810,952,22186
811,856,15748
812,720,31289
813,516,14755
814,2572,57869
815,396,9211
816,500,10451
817,728,15490
818,516,14196
819,660,11772
820,856,14105
821,1688,29770
822,868,17752
823,440,9722
824,788,13648
825,588,14134
826,512,13933
827,764,11814
828,1308,20244
829,836,15454
830,484,12403
831,832,18779
832,1136,16826
833,616,14636
834,900,15584
835,2880,23425
836,728,11577
837,476,12332
838,4376,39956
839,2192,25604
840,6332,140414
841,588,15326
842,512,12082
843,3356,112179
844,1412,39119
845,944,27172
846,1888,43611
847,748,14546
848,476,10818
849,580,12166
850,1392,27167
851,1080,27004
852,1708,20727
853,1400,20236
854,1240,20717
855,516,11102
856,1028,20165
857,488,13351
858,964,19307
859,828,14602
860,1428,34040
861,568,13998
862,624,14435
863,1492,23958
864,2936,41186
865,912,12368
866,908,13632
867,7872,128554
868,508,11170
869,432,13249
870,608,11992
871,700,12653
872,448,11558
873,4756,72477
874,2388,46411
875,476,9507
876,1164,27778
877,1460,17427
878,5044,75792
879,968,18401
880,404,10352
881,404,11580
882,872,21250
883,560,13169
884,868,15291
885,476,12744
886,436,9384
887,1148,17137
888,3512,44510
889,1684,33137
890,868,11622
891,604,12277
892,764,18049
893,1448,24006
894,1924,20776
895,440,11744
896,1968,41390
897,588,14727
898,1600,20800
899,472,12483
900,716,15761
901,6916,155347
